alpha-3;nom;nomb
AFG;AFGHANISTAN;AFGHANISTAN
ZAF;AFRIQUE DU SUD;AFRIQUE DU SUD
ALA;ÅLAND, ÎLES;ÅLAND, ÎLES
ALB;ALBANIE;ALBANIE
DZA;ALGÉRIE;ALGÉRIE
DEU;ALLEMAGNE;ALLEMAGNE
AND;ANDORRE;ANDORRE
AGO;ANGOLA;ANGOLA
AIA;ANGUILLA;ANGUILLA
ATA;ANTARCTIQUE;ANTARCTIQUE
ATG;ANTIGUA-ET-BARBUDA;ANTIGUA ET BARBUDA
SAU;ARABIE SAOUDITE;ARABIE SAOUDITE
ARG;ARGENTINE;ARGENTINE
ARM;ARMÉNIE;ARMÉNIE
ABW;ARUBA;ARUBA
AUS;AUSTRALIE;AUSTRALIE
AUT;AUTRICHE;AUTRICHE
AZE;AZERBAÏDJAN;AZERBAÏDJAN
BHS;BAHAMAS;BAHAMAS
BHR;BAHREÏN;BAHREÏN
BGD;BANGLADESH;BANGLADESH
BRB;BARBADE;BARBADE
BLR;BÉLARUS;BÉLARUS
BEL;BELGIQUE;BELGIQUE
BLZ;BELIZE;BELIZE
BEN;BÉNIN;BÉNIN
BMU;BERMUDES;BERMUDES
BTN;BHOUTAN;BHOUTAN
BOL;BOLIVIE, ÉTAT PLURINATIONAL DE;BOLIVIE, ÉTAT PLURINATIONAL DE
BES;BONAIRE, SAINT-EUSTACHE ET SABA;BONAIRE, SAINT EUSTACHE ET SABA
BIH;BOSNIE-HERZÉGOVINE;BOSNIE HERZÉGOVINE
BWA;BOTSWANA;BOTSWANA
BVT;BOUVET, ÎLE;BOUVET, ÎLE
BRA;BRÉSIL;BRÉSIL
BRN;BRUNÉI DARUSSALAM;BRUNÉI DARUSSALAM
BGR;BULGARIE;BULGARIE
BFA;BURKINA FASO;BURKINA FASO
BDI;BURUNDI;BURUNDI
CYM;CAÏMANES, ÎLES;CAÏMANES, ÎLES
KHM;CAMBODGE;CAMBODGE
CMR;CAMEROUN;CAMEROUN
CAN;CANADA;CANADA
CPV;CABO VERDE;CABO VERDE
CAF;CENTRAFRICAINE, RÉPUBLIQUE;CENTRAFRICAINE, RÉPUBLIQUE
CHL;CHILI;CHILI
CHN;CHINE;CHINE
CXR;CHRISTMAS, ÎLE;CHRISTMAS, ÎLE
CYP;CHYPRE;CHYPRE
CCK;COCOS (KEELING), ÎLES;COCOS (KEELING), ÎLES
COL;COLOMBIE;COLOMBIE
COM;COMORES;COMORES
COG;CONGO;CONGO
COD;CONGO, LA RÉPUBLIQUE DÉMOCRATIQUE DU;CONGO, LA RÉPUBLIQUE DÉMOCRATIQUE DU
COK;COOK, ÎLES;COOK, ÎLES
KOR;CORÉE, RÉPUBLIQUE DE;CORÉE, RÉPUBLIQUE DE
PRK;CORÉE, RÉPUBLIQUE POPULAIRE DÉMOCRATIQUE DE;CORÉE, RÉPUBLIQUE POPULAIRE DÉMOCRATIQUE DE
CRI;COSTA RICA;COSTA RICA
CIV;CÔTE D’IVOIRE;CÔTE D’IVOIRE
HRV;CROATIE;CROATIE
CUB;CUBA;CUBA
CUW;CURAÇAO;CURAÇAO
DNK;DANEMARK;DANEMARK
DJI;DJIBOUTI;DJIBOUTI
DOM;DOMINICAINE, RÉPUBLIQUE;DOMINICAINE, RÉPUBLIQUE
DMA;DOMINIQUE;DOMINIQUE
EGY;ÉGYPTE;ÉGYPTE
;;
;;
SLV;EL SALVADOR;EL SALVADOR
ARE;ÉMIRATS ARABES UNIS;ÉMIRATS ARABES UNIS
ECU;ÉQUATEUR;ÉQUATEUR
ERI;ÉRYTHRÉE;ÉRYTHRÉE
ESP;ESPAGNE;ESPAGNE
EST;ESTONIE;ESTONIE
USA;ÉTATS-UNIS;ÉTATS UNIS
ETH;ÉTHIOPIE;ÉTHIOPIE
FLK;FALKLAND, ÎLES (MALVINAS);FALKLAND, ÎLES (MALVINAS)
FRO;FÉROÉ, ÎLES;FÉROÉ, ÎLES
FJI;FIDJI;FIDJI
FIN;FINLANDE;FINLANDE
FRA;FRANCE;FRANCE
GAB;GABON;GABON
GMB;GAMBIE;GAMBIE
GEO;GÉORGIE;GÉORGIE
SGS;GÉORGIE DU SUD ET LES ÎLES SANDWICH DU SUD;GÉORGIE DU SUD ET LES ÎLES SANDWICH DU SUD
GHA;GHANA;GHANA
GIB;GIBRALTAR;GIBRALTAR
GRC;GRÈCE;GRÈCE
GRD;GRENADE;GRENADE
GRL;GROENLAND;GROENLAND
GLP;GUADELOUPE;GUADELOUPE
GUM;GUAM;GUAM
GTM;GUATEMALA;GUATEMALA
GGY;GUERNESEY;GUERNESEY
GIN;GUINÉE;GUINÉE
GNB;GUINÉE-BISSAU;GUINÉE BISSAU
GNQ;GUINÉE ÉQUATORIALE;GUINÉE ÉQUATORIALE
GUY;GUYANA;GUYANA
GUF;GUYANE FRANÇAISE;GUYANE FRANÇAISE
HTI;HAÏTI;HAÏTI
HMD;HEARD ET MACDONALD, ÎLES;HEARD ET MACDONALD, ÎLES
HND;HONDURAS;HONDURAS
HKG;HONG KONG;HONG KONG
HUN;HONGRIE;HONGRIE
IMN;ÎLE DE MAN;ÎLE DE MAN
UMI;ÎLES MINEURES ÉLOIGNÉES DES ÉTATS-UNIS;ÎLES MINEURES ÉLOIGNÉES DES ÉTATS UNIS
VGB;ÎLES VIERGES BRITANNIQUES;ÎLES VIERGES BRITANNIQUES
VIR;ÎLES VIERGES DES ÉTATS-UNIS;ÎLES VIERGES DES ÉTATS UNIS
IND;INDE;INDE
IDN;INDONÉSIE;INDONÉSIE
IRN;IRAN, RÉPUBLIQUE ISLAMIQUE D';IRAN, RÉPUBLIQUE ISLAMIQUE D'
IRQ;IRAQ;IRAQ
IRL;IRLANDE;IRLANDE
ISL;ISLANDE;ISLANDE
ISR;ISRAËL;ISRAËL
ITA;ITALIE;ITALIE
JAM;JAMAÏQUE;JAMAÏQUE
JPN;JAPON;JAPON
JEY;JERSEY;JERSEY
JOR;JORDANIE;JORDANIE
KAZ;KAZAKHSTAN;KAZAKHSTAN
KEN;KENYA;KENYA
KGZ;KIRGHIZISTAN;KIRGHIZISTAN
KIR;KIRIBATI;KIRIBATI
KWT;KOWEÏT;KOWEÏT
LAO;LAO, RÉPUBLIQUE DÉMOCRATIQUE POPULAIRE;LAO, RÉPUBLIQUE DÉMOCRATIQUE POPULAIRE
LSO;LESOTHO;LESOTHO
LVA;LETTONIE;LETTONIE
LBN;LIBAN;LIBAN
LBR;LIBÉRIA;LIBÉRIA
LBY;LIBYE;LIBYE
LIE;LIECHTENSTEIN;LIECHTENSTEIN
LTU;LITUANIE;LITUANIE
LUX;LUXEMBOURG;LUXEMBOURG
MAC;MACAO;MACAO
MKD;RÉPUBLIQUE DE MACÉDOINE;RÉPUBLIQUE DE MACÉDOINE
MDG;MADAGASCAR;MADAGASCAR
MYS;MALAISIE;MALAISIE
MWI;MALAWI;MALAWI
MDV;MALDIVES;MALDIVES
MLI;MALI;MALI
MLT;MALTE;MALTE
MNP;MARIANNES DU NORD, ÎLES;MARIANNES DU NORD, ÎLES
MAR;MAROC;MAROC
MHL;MARSHALL, ÎLES;MARSHALL, ÎLES
MTQ;MARTINIQUE;MARTINIQUE
MUS;MAURICE;MAURICE
MRT;MAURITANIE;MAURITANIE
MYT;MAYOTTE;MAYOTTE
MEX;MEXIQUE;MEXIQUE
FSM;MICRONÉSIE, ÉTATS FÉDÉRÉS DE;MICRONÉSIE, ÉTATS FÉDÉRÉS DE
MDA;MOLDAVIE;MOLDAVIE
MCO;MONACO;MONACO
MNG;MONGOLIE;MONGOLIE
MNE;MONTÉNÉGRO;MONTÉNÉGRO
MSR;MONTSERRAT;MONTSERRAT
MOZ;MOZAMBIQUE;MOZAMBIQUE
MMR;MYANMAR;MYANMAR
NAM;NAMIBIE;NAMIBIE
NRU;NAURU;NAURU
NPL;NÉPAL;NÉPAL
NIC;NICARAGUA;NICARAGUA
NER;NIGER;NIGER
NGA;NIGÉRIA;NIGÉRIA
NIU;NIUÉ;NIUÉ
NFK;NORFOLK, ÎLE;NORFOLK, ÎLE
NOR;NORVÈGE;NORVÈGE
NCL;NOUVELLE-CALÉDONIE;NOUVELLE CALÉDONIE
NZL;NOUVELLE-ZÉLANDE;NOUVELLE ZÉLANDE
IOT;OCÉAN INDIEN, TERRITOIRE BRITANNIQUE DE L';OCÉAN INDIEN, TERRITOIRE BRITANNIQUE DE L'
OMN;OMAN;OMAN
UGA;OUGANDA;OUGANDA
UZB;OUZBÉKISTAN;OUZBÉKISTAN
PAK;PAKISTAN;PAKISTAN
PLW;PALAOS;PALAOS
PSE;ÉTAT DE PALESTINE;ÉTAT DE PALESTINE
PAN;PANAMA;PANAMA
PNG;PAPOUASIE-NOUVELLE-GUINÉE;PAPOUASIE NOUVELLE GUINÉE
PRY;PARAGUAY;PARAGUAY
NLD;PAYS-BAS;PAYS BAS
PER;PÉROU;PÉROU
PHL;PHILIPPINES;PHILIPPINES
PCN;PITCAIRN;PITCAIRN
POL;POLOGNE;POLOGNE
PYF;POLYNÉSIE FRANÇAISE;POLYNÉSIE FRANÇAISE
PRI;PORTO RICO;PORTO RICO
PRT;PORTUGAL;PORTUGAL
QAT;QATAR;QATAR
REU;RÉUNION;RÉUNION
ROU;ROUMANIE;ROUMANIE
GBR;ROYAUME-UNI;ROYAUME UNI
RUS;RUSSIE, FÉDÉRATION DE;RUSSIE, FÉDÉRATION DE
RWA;RWANDA;RWANDA
ESH;SAHARA OCCIDENTAL;SAHARA OCCIDENTAL
BLM;SAINT-BARTHÉLEMY;SAINT BARTHÉLEMY
KNA;SAINT-KITTS-ET-NEVIS;SAINT KITTS ET NEVIS
SMR;SAINT-MARIN;SAINT MARIN
MAF;SAINT-MARTIN (PARTIE FRANÇAISE);SAINT MARTIN (PARTIE FRANÇAISE)
SXM;SAINT-MARTIN (PARTIE NÉERLANDAISE);SAINT MARTIN (PARTIE NÉERLANDAISE)
SPM;SAINT-PIERRE-ET-MIQUELON;SAINT PIERRE ET MIQUELON
VAT;SAINT-SIÈGE (ÉTAT DE LA CITÉ DU VATICAN);SAINT SIÈGE (ÉTAT DE LA CITÉ DU VATICAN)
VCT;SAINT-VINCENT-ET-LES-GRENADINES;SAINT VINCENT ET LES GRENADINES
SHN;SAINTE-HÉLÈNE, ASCENSION ET TRISTAN DA CUNHA;SAINTE HÉLÈNE, ASCENSION ET TRISTAN DA CUNHA
LCA;SAINTE-LUCIE;SAINTE LUCIE
SLB;SALOMON, ÎLES;SALOMON, ÎLES
WSM;SAMOA;SAMOA
ASM;SAMOA AMÉRICAINES;SAMOA AMÉRICAINES
STP;SAO TOMÉ-ET-PRINCIPE;SAO TOMÉ ET PRINCIPE
SEN;SÉNÉGAL;SÉNÉGAL
SRB;SERBIE;SERBIE
SYC;SEYCHELLES;SEYCHELLES
SLE;SIERRA LEONE;SIERRA LEONE
SGP;SINGAPOUR;SINGAPOUR
SVK;SLOVAQUIE;SLOVAQUIE
SVN;SLOVÉNIE;SLOVÉNIE
SOM;SOMALIE;SOMALIE
SDN;SOUDAN;SOUDAN
SSD;SOUDAN DU SUD;SOUDAN DU SUD
LKA;SRI LANKA;SRI LANKA
SWE;SUÈDE;SUÈDE
CHE;SUISSE;SUISSE
SUR;SURINAME;SURINAME
SJM;SVALBARD ET ÎLE JAN MAYEN;SVALBARD ET ÎLE JAN MAYEN
SWZ;ESWATINI;ESWATINI
SYR;SYRIENNE, RÉPUBLIQUE ARABE;SYRIENNE, RÉPUBLIQUE ARABE
TJK;TADJIKISTAN;TADJIKISTAN
TWN;TAÏWAN, PROVINCE DE CHINE;TAÏWAN, PROVINCE DE CHINE
TZA;TANZANIE, RÉPUBLIQUE UNIE DE;TANZANIE, RÉPUBLIQUE UNIE DE
TCD;TCHAD;TCHAD
CZE;TCHÉQUIE;TCHÉQUIE
ATF;TERRES AUSTRALES FRANÇAISES;TERRES AUSTRALES FRANÇAISES
THA;THAÏLANDE;THAÏLANDE
TLS;TIMOR-LESTE;TIMOR LESTE
TGO;TOGO;TOGO
TKL;TOKELAU;TOKELAU
TON;TONGA;TONGA
TTO;TRINITÉ-ET-TOBAGO;TRINITÉ ET TOBAGO
TUN;TUNISIE;TUNISIE
TKM;TURKMÉNISTAN;TURKMÉNISTAN
TCA;TURKS ET CAÏQUES, ÎLES;TURKS ET CAÏQUES, ÎLES
TUR;TURQUIE;TURQUIE
TUV;TUVALU;TUVALU
UKR;UKRAINE;UKRAINE
URY;URUGUAY;URUGUAY
VUT;VANUATU;VANUATU
VEN;VENEZUELA, RÉPUBLIQUE BOLIVARIENNE DU;VENEZUELA, RÉPUBLIQUE BOLIVARIENNE DU
VNM;VIET NAM;VIET NAM
WLF;WALLIS-ET-FUTUNA;WALLIS ET FUTUNA
YEM;YÉMEN;YÉMEN
ZMB;ZAMBIE;ZAMBIE
ZWE;ZIMBABWE;ZIMBABWE
